grammar_name_en,grammar_name_jp,meaning,how_to_use_html,example_1,example_2,source
beku shite,べくして,as it is bound to (happen); following the natural course,<em>(no usage table)</em>,,,https://jlptsensei.com/learn-japanese-grammar/%e3%81%b9%e3%81%8f%e3%81%97%e3%81%a6-beku-shite-meaning/
biru / bite / bita,びる / びて / びた,to seem to be; to appear; to behave as ~,<em>(no usage table)</em>,,,https://jlptsensei.com/learn-japanese-grammar/%e3%81%b3%e3%82%8b-biru-%e3%81%b3%e3%81%9f-bita-%e3%81%b3%e3%81%a6-bite-meaning/
buri / ppuri,ぶり / っぷり,"Learn Japanese grammar: (buri / ppuri). Meaning: style; manner; way​. This describes the appearance, state, action, condition, degree or the way one does something. This...","<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (ます stem) + <s>ます</s></td><td rowspan=""2"">ぶり<br/>っぷり</td></tr><tr><td>Noun</td></tr></tbody></table>",Example #1先生はその生徒のがんばりぶりを見ていた。hintromajiEnglishせんせいはそのせいとのがんばりぶりをみていた。sensei wa sono seito no ganbari buri o mite ita.The teacher has been observing how hard that student has been trying.,"Example #2社長の話しぶり、今年のバーナスはないようだ。hintromajiEnglishしゃちょうのはなしぶり、ことしのバーナスはないようだ。shachou no hanashi buri dewa, kotoshi no boonasu wa nai you da.From the way the director talks, there will probably be no bonus this year.",https://jlptsensei.com/learn-japanese-grammar/%e3%81%b6%e3%82%8a-%e3%81%a3%e3%81%b7%e3%82%8a-buri-ppuri-meaning/
buru / butte / butta,ぶる / ぶって / ぶった,Learn Japanese grammar: 振る【】(buru / butte / butta). Meaning: assuming the air of; behaving like; to pretend / act like ~. This is used to...,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Noun</td><td rowspan=""3"">ぶる<br/>ぶって<br/>ぶった<br/>ぶっちゃって</td></tr><tr><td>な-adjective</td></tr><tr><td>い-adjective + <s>い</s></td></tr></tbody></table>","Example #1彼は金持ちぶっているが、本当は借金がたくさんある。hintromajiEnglishかれはかねもちぶっているが、ほんとうはしゃっきんがたくさんある。kare wa kanemochi butte iru ga, hontou wa shakkin ga takusan aru.Though he pretends to be rich, in reality he is in serious debt.",Example #2親切ぶって近づいてくる人には気を付けてください。hintromajiEnglishしんせつぶってちかづいてくるひとにはきをつけてください。shinsetsu butte chikadzuite kuru hito ni wa ki o tsukete kudasai.Be careful of people who approach you and pretend to be nice.,https://jlptsensei.com/learn-japanese-grammar/%e3%81%b6%e3%82%8b-%e3%81%b6%e3%81%a3%e3%81%a6-%e3%81%b6%e3%81%a3%e3%81%9f-buru-butte-butta-meaning/
dani / dani shinai,だに / だにしない,Learn Japanese grammar: (dani / dani shinai) particle. Meaning: even; not even ~. This is an old expression which is usually used to express negative...,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (dicationary)</td><td rowspan=""2"">だに<br/>だにしない</td></tr><tr><td>Noun<br/>Exception: 夢 -&gt; 夢に</td></tr></tbody></table>",Example #1こんな事故が起きるとは想像だにしなかった。hintromajiEnglishこんなじこがおきるとはそうぞうだにしなかった。konna jiko ga okiru to wa souzou dani shinakatta.I never imagined that such an accident would occur.,Example #2この間の彼女の態度は思い出すだに腹が立つ。hintromajiEnglishこのあいだのかのじょのたいどはおもいだすだにはらがたつ。kono aida no kanojo no taido wa omoidasu dani hara ga tatsu.Even just thinking about her attitude the other day still upsets me.,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a0%e3%81%ab-%e3%81%a0%e3%81%ab%e3%81%97%e3%81%aa%e3%81%84-dani-shinai-meaning/
dano~dano,だの～だの,and; and the like; and so forth ~,<em>(no usage table)</em>,,,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a0%e3%81%ae%ef%bd%9e%e3%81%a0%e3%81%ae-dano-dano-meaning/
darou ni,だろうに,"(1) surely..., but ~; although... is likely, ~ (2) should have (regret); might / must have been ~",<em>(no usage table)</em>,,,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a0%e3%82%8d%e3%81%86%e3%81%ab-darou-ni-meaning/
de are / de arou to,であれ / であろうと,Learn Japanese grammar: (de are) / であろうと (de arou to). Meaning: whoever; whatever; however; even ~. Whoever 誰であれ / 誰であろうと dare de are / dare...,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Noun</td><td>であれ<br/>であろうと</td></tr></tbody></table>","Example #1若い時はどんな仕事であれ、一生懸命取り組みました。hintromajiEnglishわかいときはどんなしごとであれ、いっしょうけんめいとりくみました。wakai toki wa donna shigoto de are, isshoukenmei torikumimashita.When I was young, no matter what the work was I always gave it my best effort.","Example #2嘘をつくとは、どんな理由であれ、許されないことだ。hintromajiEnglishうそをつくとは、どんなりゆうであれ、ゆるされないことだ。uso o tsuku to wa, donna riyuu de are, yurusarenai koto da.Whatever the reason, lying is an unforgivable act.",https://jlptsensei.com/learn-japanese-grammar/%e3%81%a7%e3%81%82%e3%82%8c-%e3%81%a7%e3%81%82%e3%82%8d%e3%81%86%e3%81%a8-de-are-de-arou-meaning/
de are~de are,であれ～であれ,"Learn Japanese grammar: (de are~de are) / (de arou to~de arou to). Meaning: whether [A] or [B]. When not comparing two items, you can use...","<table class=""table table-bordered table-sm usage""><tbody><tr><td>Noun</td><td>であれ<br/>であろうと</td><td>Noun</td><td>であれ<br/>であろうと</td></tr></tbody></table>","Example #1彼がお金持ちであれ貧乏であれ、私の気持ちが変わることはない。hintromajiEnglishかれがおかねもちであれびんぼうであれ、わたしのきもちがかわることはない。kare ga okanemochi de are binbou de are, watashi no kimochi ga kawaru koto wa nai.It doesn't matter whether he is rich or poor, my feelings will not change.","Example #2先生であれ学生であれ、規則には従わなければなりません。hintromajiEnglishせんせいであれがくせいであれ、きそくにはしたがわなければなりません。sensei de are gakusei de are, kisoku ni wa shitagawa nakereba narimasen.Whether you are a teacher or a student, everyone must follow the rules.",https://jlptsensei.com/learn-japanese-grammar/%e3%81%a7%e3%81%82%e3%82%8c%ef%bd%9e%e3%81%a7%e3%81%82%e3%82%8c-de-are-de-are-meaning/
demo ari~demo aru,でもあり～でもある,Learn Japanese grammar: (demo ari~demo aru). Meaning: to also be; both… and ~.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Noun + で</td><td rowspan=""3"">もあり</td><td>Noun + で</td><td rowspan=""3"">もある</td></tr><tr><td>な-adj + で</td><td>な-adj + で</td></tr><tr><td>い-adj + <s>い</s>く</td><td>い-adj + <s>い</s>く</td></tr></tbody></table>","Example #1明日の試合は興奮でもあり、緊張でもある。hintromajiEnglishあしたのしあいはこうふんでもあり、きんちょうでもある。ashita no shiai wa koufun demo ari, kinchou demo aru.I'm both excited and nervous for tomorrow's match.",Example #2高校に卒業したら喜ばしくもあり悲しくもある。hintromajiEnglishこうこうにそつぎょうしたらよろこばしくもありかなしくもある。koukou ni sotsugyou shitara yorokobashi kumo ari kanashi kumo aru.Graduating from high school is both happy and sad.,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a7%e3%82%82%e3%81%82%e3%82%8a%ef%bd%9e%e3%81%a7%e3%82%82%e3%81%82%e3%82%8b-demo-ari-demo-aru-meaning/
demo nan demo nai / kumo nan tomo nai,でも何でもない / くも何ともない（でもなんでもない / くもなんともない）,Learn Japanese grammar: 【でもなんでもない / くもなんともない】(demo nan demo nai / kumo nan tomo nai). Meaning: not in the least; nothing like that.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Noun</td><td rowspan=""2"">でも何でもない</td></tr><tr><td>な-adjective</td></tr><tr><td>い-adjective <s>い</s></td><td>くも何ともない</td></tr></tbody></table>",Example #1誕生日でもなんでもないのにプレゼントをもらった。hintromajiEnglishたんじょうびでもなんでもないのにプレゼントをもらった。tanjoubi demo nan demo nai no ni purezento o moratta.I got a present even though it wasn't my birthday or anything like that.,Example #2彼の冗談は面白くもなんともない。hintromajiEnglishかれのじょうだんはおもしろくもなんともない。kare no joudan wa omoshiroku mo nantomo nai.His joke is not interesting at all.,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a7%e3%82%82%e4%bd%95%e3%81%a7%e3%82%82%e3%81%aa%e3%81%84-%e3%81%8f%e3%82%82%e4%bd%95%e3%81%a8%e3%82%82%e3%81%aa%e3%81%84-demo-nan-demo-nai-meaning/
denakute nan darou,でなくてなんだろう,Learn Japanese grammar: (denakute nan darou). Meaning: if not … then what is it?; (this) is nothing other than …; (it) must be …; (it)...,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Noun</td><td>でなくてなんだろう</td></tr></tbody></table>","Example #1彼女に対するこの気持ちは、愛でなくてなんだろう。hintromajiEnglishかのじょにたいするこのきもちは、あいでなくてなんだろう。kanojo ni taisuru kono kimochi wa, ai denakute nan darou.The feeling of mine for her must be love.","Example #2子供のために病気になるまで働くとは、親の愛でなくてなんだろう。hintromajiEnglishこどものためにびょうきになるまではたらくとは、おやのあいでなくてなんだろう。kodomo no tame ni byouki ni naru made hataraku to wa, oya no ai denakute nan darou.Working to the point of sickness for the sake of one's child is nothing other than parental love.",https://jlptsensei.com/learn-japanese-grammar/%e3%81%a7%e3%81%aa%e3%81%8f%e3%81%a6%e3%81%aa%e3%82%93%e3%81%a0%e3%82%8d%e3%81%86-denakute-nan-darou-meaning/
dewa arumai ka,ではあるまいか,Learn Japanese grammar: (dewa arumai ka). Meaning: isn’t it; I wonder if it’s not ~.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (casual) + の</td><td rowspan=""4"">ではあるまいか</td></tr><tr><td>Noun + (なの)</td></tr><tr><td>な-adjective + (なの)</td></tr><tr><td>い-adjective + の</td></tr></tbody></table>","Example #1この調子なら、今年の売り上げ目標を達成できるのではあるまいか。hintromajiEnglishこの調子なら、今年の売り上げ目標を達成できるのではあるまいか。kono choushi nara, kotoshi no uriage mokuhyou o tassei dekiru no dewa arumai ka.If this is the case, I wonder if we can reach our sales target this year.","Example #2天気予報で今日は天気が悪いと言っていたが、雨は降らないのではあるまいか。hintromajiEnglishてんきよほうできょうはてんきがわるいといっていたが、あめはふらないのではあるまいか。tenkiyohou de kyou wa tenki ga warui to itte ita ga, ame wa furanai no dewa arumai ka.The weather forecast said that the weather would be bad today, but I wonder if it's not going to rain.",https://jlptsensei.com/learn-japanese-grammar/%e3%81%a7%e3%81%af%e3%81%82%e3%82%8b%e3%81%be%e3%81%84%e3%81%8b-dewa-arumai-ka-meaning/
dewa arumai shi,ではあるまいし,Learn Japanese grammar: (dewa arumai shi) / (ja arumai shi). Meaning: it’s not like; it isn’t as if ~.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Noun</td><td>ではあるまいし<br/>でもあるまいし<br/>じゃあるまいし</td></tr></tbody></table>","Example #1子供ではあるまいし、泣くのはやめなさい。hintromajiEnglishこどもではあるまいし、なくのはやめなさい。kodomo dewa arumai shi, naku nowa yamenasai.Stop crying! You are not a child.","Example #2新入社員ではあるまいし、基本的なことは説明する必要ないと思います。hintromajiEnglishしんにゅうしゃいんではあるまいし、きほんてきなことはせつめいするひつようないとおもいます。shinnyuu shain dewa arumai shi, kihonteki na koto wa setsumei suru hitsuyou nai to omoimasu.You're not a new employee, so I don't think I need to explain the basics.",https://jlptsensei.com/learn-japanese-grammar/%e3%81%a7%e3%81%af%e3%81%82%e3%82%8b%e3%81%be%e3%81%84%e3%81%97-dewa-arumai-shi-meaning/
dewa sumanai,では済まない（ではすまない）,it doesn’t end with just ~; it will take more than ~,<em>(no usage table)</em>,,,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a7%e3%81%af%e6%b8%88%e3%81%be%e3%81%aa%e3%81%84-dewa-sumanai-meaning/
dou nimo~nai,どうにも～ない,"Learn Japanese grammar: (dou nimo~nai). Meaning: not … by any means; no matter how hard one tries, cannot ~.","<table class=""table table-bordered table-sm usage""><tbody><tr><td rowspan=""2"">どうにも</td><td>Verb (ない form)</td></tr><tr><td>Noun + がない</td></tr></tbody></table>","Example #1こんな蒸し暑い天気は、どうにも我慢できない。hintromajiEnglishこんなむしあついてんきは、どうにもがまんできない。konna mushiatsui tenki wa, dou nimo gaman dekinai.I can't stand this humid weather.",Example #2私はこの場所ではどうにも勉強に集中できない。hintromajiEnglishわたしはこのばしょではどうにもべんきょうにしゅうちゅうできない。watashi wa kono basho de wa dou nimo benkyou ni shuuchuu dekinaiI cannot concentrate on my studies at all in this place.,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a9%e3%81%86%e3%81%ab%e3%82%82%ef%bd%9e%e3%81%aa%e3%81%84-dou-nimo-nai-meaning/
ga hayai ka,が早いか（がはやいか）,Learn Japanese grammar: 【がはやいか】(ga hayai ka). Meaning: no sooner than; as soon as ~.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (dictionary)</td><td>が早いか</td></tr></tbody></table>","Example #1その人は、信号の色が変わるが早いか、走り出した。hintromajiEnglishそのひとは、しんごのいろがかわるがはやいか、はしりだした。sono hito wa, shingou no iro ga kawaru ga hayai ka, hashiri dashita.That guy ran off as soon as the crosswalk light changed.","Example #2うちの子はいつも学校から帰ってきて、かばんを放り出すが早いか、遊びに行ってしまう。hintromajiEnglishうちのこはいつもがっこうからかえってきて、かばんをほうりだすがはやいか、あそびにいってしまう。uchi no ko wa itsumo gakkou kara kaette kite, kaban o houridasu ga hayai ka, asobi ni itte shimau.As soon as my child gets home from school, they immediately drop their bag and go off to play.",https://jlptsensei.com/learn-japanese-grammar/%e3%81%8c%e6%97%a9%e3%81%84%e3%81%8b-ga-hayai-ka-meaning/
"ga/mo~nara, ~mo~da",が/も～なら、～も～だ,"Learn Japanese grammar: (ga/mo~nara, ~mo~da). Meaning: negative connection/comparison (like father like son). This is used to connect two people/things with a close relationship and express...","<table class=""table table-bordered table-sm usage""><tbody><tr><td>Noun-1＋が/も＋Noun-1＋なら、<br/>Noun-2＋も＋Noun-2＋だ</td></tr></tbody></table>","Example #1先生が先生なら、学生も学生だ。hintromajiEnglishせんせいがせんせいなら、がくせいもがくせいだ。sensei ga sensei nara, gakusei mo gakusei da.Like teacher like student. (with a bad teacher like this of course the students are also bad)","Example #2味が味なら、サービスもサービスだ。hintromajiEnglishあじがあじなら、サービスもサービスだ。aji ga aji nara, saabisu mo saabisu da.With bad taste like this, of course the service is also bad.",https://jlptsensei.com/learn-japanese-grammar/%e3%81%8c-%e3%82%82%ef%bd%9e%e3%81%aa%e3%82%89%ef%bd%9e%e3%82%82%ef%bd%9e%e3%81%a0-ga-mo-nara-mo-da-meaning/
gamashii,がましい,"Learn Japanese grammar: (gamashii). Meaning: look like; sound like; approximate; similar to; somewhat like ~. い-adjective. This is usually used for bad things, and there...","<table class=""table table-bordered table-sm usage""><tbody><tr><td>Noun</td><td>がましい</td></tr></tbody></table>",Example #1差し出がましい男だ。hintromajiEnglishさしでがましいおとこだ。sashide gamashii otoko da.He is too forward.,Example #2彼女は言い訳がましい事は一切言わなかった。hintromajiEnglishかのじょはいいわけがましいことはいっさいいわなかった。kanojo wa iiwake ga mashii koto wa issai iwanakatta.She didn't say anything sounding like an excuse.,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8c%e3%81%be%e3%81%97%e3%81%84-gamashii-meaning/
gatera,がてら,Learn Japanese grammar: (gatera). Meaning: while; on the same occasion; at the same time; coincidentally ~.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb <s>ます</s> (sterm form)</td><td rowspan=""2"">がてら</td></tr><tr><td>Noun</td></tr></tbody></table>","Example #1散歩がてら、コンビニに行ってくるよ。hintromajiEnglishさんぽがてら、コンビニにいってくるよ。sanpo gatera, konbini ni itte kuru yo.I'm going for a walk and will stop by a convenience store.","Example #2友達を駅まで送りがてらDVDを返してきた。hintromajiEnglishともだちをえきまでおくりがてらDVDをかえしてきた。tomodachi o eki made okuri gatera DVD o kaeshite kita.While I was dropping my friend off at the station, I returned the DVD.",https://jlptsensei.com/learn-japanese-grammar/%e3%81%8c%e3%81%a6%e3%82%89-gatera-meaning/
gotoki / gotoku / gotoshi,ごとき / ごとく / ごとし,Learn Japanese grammar: 【ごとき / ごとく / ごとし】(gotoki / gotoku / gotoshi). Meaning: like; as if; the same as ~. Meaning 1) 〜のように “just like;...,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb （＋が／かの）<br/>(dictionary / た form)</td><td rowspan=""2"">ごとき + noun<br/>ごとく～（文の途中）<br/>ごとし（文の終わり）</td></tr><tr><td>Noun + の</td></tr></tbody></table>",Example #1彼は風のごとく走っています。hintromajiEnglishかれはかぜのごとくはしっています。kare wa kaze no gotoku hashitte imasu.He is running like the wind.,Example #2誰も見ていないかのごとく自由に踊りましょう。hintromajiEnglishだれもみていないかのごとくじゆうにおどりましょう。dare mo mite inai ka no gotoku jiyuu ni odorimashou.Let's dance freely as if no one is watching.,https://jlptsensei.com/learn-japanese-grammar/%e3%81%94%e3%81%a8%e3%81%8d-%e3%81%94%e3%81%a8%e3%81%8f-%e3%81%94%e3%81%a8%e3%81%97-gotoki-gotoku-gotoshi-meaning/
gurumi,ぐるみ,together (with); -wide,<em>(no usage table)</em>,,,https://jlptsensei.com/learn-japanese-grammar/%e3%81%90%e3%82%8b%e3%81%bf-gurumi-meaning/
hame ni naru,羽目になる（はめになる）,"Learn Japanese grammar: 【はめになる】(hame ni naru). Meaning: to get stuck with (some job); to end up with (something unpleasant). May also be written as ハメになる,...","<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (dictionary)</td><td>羽目になる<br/>ハメになる</td></tr></tbody></table>","Example #1私は歩く時に転んで、入院する羽目になった。hintromajiEnglishわたしはあるくときにころんで、にゅういんするはめになった。watashi wa aruku toki ni koronde, nyuuin suru hame ni natta.I fell while walking and ended up being hospitalized.","Example #2授業をサボりすぎたので、試験前は徹夜する羽目になりそうだ。hintromajiEnglishじゅぎょうをサボりすぎたので、試しけんまえはてつやするはめになりそうだ。jugyou o sabori sugita node, shiken mae wa tetsuya suru hame ni nari sou da.Because I skipped class too much, It looks like I will end up staying up all night the day before the exam.",https://jlptsensei.com/learn-japanese-grammar/%e7%be%bd%e7%9b%ae%e3%81%ab%e3%81%aa%e3%82%8b-%e3%81%af%e3%82%81%e3%81%ab%e3%81%aa%e3%82%8b-hame-ni-naru-meaning/
hodo no koto dewa nai,ほどのことではない,Learn Japanese grammar: 【ほどのことではない】(hodo no koto dewa nai). Meaning: it’s not worth; no need to ~.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (dictionary)</td><td>ほどのことではない</td></tr></tbody></table>",Example #1それは悲しむほどのことではない。hintromajiEnglishそれはかなしむほどのことではない。sore wa kanashimu hodo no koto dewa nai.That isn't anything to be sad over.,"Example #2もっとも気にする程のことではないが。hintromajiEnglishもっともきにするほどのことではないが。mottomo ki ni suru hodo no koto dewa nai ga.You needn't let it worry you, though.",https://jlptsensei.com/learn-japanese-grammar/%e3%81%bb%e3%81%a9%e3%81%ae%e3%81%93%e3%81%a8%e3%81%a7%e3%81%af%e3%81%aa%e3%81%84-hodo-no-koto-dewa-nai-meaning/
